Ranking,Name,Tuition,Board,Salary
501-600,Humboldt State University,"$19,373","$13,016","$35,167"
501-600,Idaho State University,"$21,942","$7,024","$35,067"
501-600,University of the Incarnate Word,"$29,990","$12,436","$44,733"
501-600,University of Indianapolis,"$28,390","$9,988","$40,767"
501-600,Kean University,"$19,009","$13,513","$45,867"
501-600,LIU Post,"$36,978","$13,720","$46,667"
501-600,La Sierra University,"$32,130","$8,250","$45,167"
501-600,University of La Verne,"$41,450","$13,180","$49,433"
501-600,Lesley University,"$26,675","$15,750","$36,567"
501-600,Lipscomb University,"$30,932","$12,052","$40,333"
501-600,Loras College,"$32,886","$7,840","$43,000"
501-600,Manchester University,"$31,660","$10,100","$39,033"
501-600,Manhattanville College,"$37,910","$14,520","$46,333"
501-600,University of Mary Washington,"$27,434","$10,911","$50,133"
501-600,University of Massachusetts Dartmouth,"$28,285","$12,936","$46,900"
501-600,University of Massachusetts Lowell,"$31,865","$12,496","$51,433"
501-600,University of Memphis,"$21,029","$9,366","$36,500"
501-600,Mercyhurst University,"$36,320","$12,210","$39,833"
501-600,University of Michigan-Flint,"$21,165","$8,386","$40,300"
501-600,Morningside College,"$30,390","$9,390","$42,033"
501-600,College of Mount Saint Vincent,"$33,458","$9,500","$51,700"
501-600,University of Mount Union,"$29,890","$10,100","$42,333"
501-600,Mount Vernon Nazarene University,"$18,946","$7,854","$41,567"
501-600,University of Nebraska Omaha,"$20,320","$9,406","$42,733"
501-600,University of New Hampshire,"$32,637","$11,266","$48,900"
501-600,University of New Haven,"$38,170","$15,610","$49,933"
501-600,New Mexico State University (Main campus)  ,"$21,022","$8,686","$33,600"
501-600,University of North Carolina at Asheville,"$23,868","$9,106","$34,400"
501-600,University of North Carolina at Charlotte,"$20,266","$12,408","$42,733"
501-600,University of North Carolina at Greensboro,"$22,409","$10,183","$36,367"
501-600,North Central College,"$37,749","$10,650","$46,067"
501-600,Northeastern State University,"$14,022","$7,764","$35,300"
501-600,Northern Arizona University,"$16,998","$9,944","$39,500"
501-600,University of Northern Iowa,"$19,241","$8,781","$43,133"
501-600,Northwestern College,"$30,200","$9,000","$37,733"
501-600,Norwich University,"$38,662","$13,372","$49,667"
501-600,Old Dominion University,"$27,900","$11,268","$42,933"
501-600,Otterbein University,"$31,874","$10,528","$41,800"
501-600,Portland State University,"$26,130",n/a,"$43,233"
501-600,Queens University of Charlotte,"$33,532","$11,844","$39,200"
501-600,Ramapo College of New Jersey,"$23,214","$12,180","$49,067"
501-600,Robert Morris University,"$29,420","$12,900","$45,267"
501-600,SUNY College at Brockport,"$17,804","$12,904","$41,700"
501-600,SUNY Cortland,"$17,950","$12,810","$45,800"
501-600,SUNY at Fredonia,"$17,936","$12,490","$40,367"
501-600,SUNY Geneseo,"$18,058","$13,214","$47,233"
501-600,SUNY Oneonta,"$17,816","$12,794","$42,567"
501-600,SUNY Oswego,"$17,841","$13,740","$42,067"
501-600,SUNY Potsdam,"$17,871","$12,830","$37,900"
501-600,Sacred Heart University,"$39,820","$14,770","$54,733"
501-600,Saint Xavier University,"$33,380","$11,340","$45,267"
501-600,Salisbury University,"$18,622","$11,480","$48,167"
501-600,Sam Houston State University,"$18,022","$9,178","$42,767"
501-600,Schreiner University,"$26,900","$10,152","$38,467"
501-600,Sonoma State University,"$19,604","$13,554","$46,200"
501-600,South Dakota State University,"$11,689","$8,563","$42,367"
501-600,Southern Adventist University,"$21,550","$6,750","$37,567"
501-600,Southern Illinois University Edwardsville,"$11,134","$9,481","$41,267"
501-600,University of Southern Mississippi,"$10,218","$9,631","$36,033"
501-600,Tennessee Technological University,"$24,377","$9,400","$38,233"
501-600,Texas A&M International University,"$17,411","$8,160","$44,267"
501-600,University of Texas Rio Grande Valley,"$17,547","$7,986","$40,567"
501-600,Texas State University,"$21,605","$9,490","$44,500"
501-600,University of Texas at Tyler,"$20,542","$9,290","$42,900"
501-600,Texas Woman's University,"$17,530","$8,181","$44,433"
501-600,Truman State University,"$14,440","$8,638","$43,733"
501-600,Waynesburg University,"$24,010","$9,820","$44,667"
501-600,Wentworth Institute of Technology,"$34,977","$13,844","$60,700"
501-600,West Virginia Wesleyan College,"$30,752","$8,436","$41,467"
501-600,Whitworth University,"$42,186","$11,496","$41,400"
501-600,William Paterson University of New Jersey,"$20,842","$11,317","$44,700"
501-600,Wisconsin Lutheran College,"$29,140","$9,910","$40,133"
501-600,University of Wisconsin-Milwaukee,"$20,844","$10,560","$42,800"
> 600,University of Akron ,"$18,801","$12,296","$35,267"
> 600,Albertus Magnus College,"$31,140","$13,000","$51,500"
> 600,Alvernia University,"$33,640","$11,690","$43,067"
> 600,Anderson University (South Carolina),"$26,970","$9,680","$34,367"
> 600,Appalachian State University,"$22,109","$8,173","$37,333"
> 600,Ashland University,"$20,700","$9,746","$39,500"
> 600,Ball State University,"$25,942","$10,034","$39,767"
> 600,Bemidji State University,"$8,678","$8,162","$39,700"
> 600,Benedictine College,"$28,480","$9,900","$39,600"
> 600,Bloomsburg University of Pennsylvania,"$21,980","$9,430","$44,033"
> 600,Boise State University,"$22,642","$10,042","$36,267"
> 600,Bowling Green State University,"$18,593","$8,898","$39,567"
> 600,University of Bridgeport,"$32,250","$13,590","$42,633"
> 600,Bridgewater College,"$33,820","$12,440","$41,467"
> 600,Bridgewater State University,"$16,152","$12,750","$43,800"
> 600,CUNY John Jay College of Criminal Justice,"$14,460","$20,007","$43,300"
> 600,CUNY College of Staten Island,"$14,480","$17,850","$40,767"
